"word1"	"word2"	"freq"
"381"	"off"	"to"	12
"382"	"on"	"your"	12
"383"	"out"	"there"	12
"384"	"say"	"that"	12
"385"	"she"	"is"	12
"386"	"she"	"was"	12
"387"	"sounds"	"like"	12
"388"	"that"	"my"	12
"389"	"the"	"end"	12
"390"	"the"	"idea"	12
"391"	"this"	"year"	12
"392"	"to"	"all"	12
"393"	"to"	"watch"	12
"394"	"wait"	"to"	12
"395"	"wanted"	"to"	12
"396"	"was"	"not"	12
"397"	"who"	"are"	12
"398"	"a"	"couple"	11
"399"	"a"	"man"	11
"400"	"about"	"this"	11
"401"	"and"	"even"	11
"402"	"and"	"its"	11
"403"	"and"	"not"	11
"404"	"and"	"to"	11
"405"	"and"	"your"	11
"406"	"are"	"so"	11
"407"	"as"	"you"	11
"408"	"been"	"a"	11
"409"	"better"	"than"	11
"410"	"can"	"do"	11
"411"	"day"	"i"	11
"412"	"even"	"if"	11
"413"	"for"	"all"	11
"414"	"for"	"your"	11
"415"	"get"	"some"	11
"416"	"had"	"the"	11
"417"	"has"	"to"	11
"418"	"having"	"a"	11
"419"	"here"	"in"	11
"420"	"how"	"many"	11
"421"	"i"	"also"	11
"422"	"i"	"havent"	11
"423"	"if"	"it"	11
"424"	"in"	"an"	11
"425"	"in"	"their"	11
"426"	"interested"	"in"	11
"427"	"is"	"one"	11
"428"	"is"	"there"	11
"429"	"it"	"just"	11
"430"	"last"	"week"	11
"431"	"live"	"in"	11
"432"	"looking"	"forward"	11
"433"	"make"	"the"	11
"434"	"make"	"you"	11
"435"	"me"	"and"	11
"436"	"might"	"be"	11
"437"	"my"	"mom"	11
"438"	"not"	"have"	11
"439"	"not"	"only"	11
"440"	"of"	"that"	11
"441"	"of"	"what"	11
"442"	"on"	"our"	11
"443"	"or"	"a"	11
"444"	"thanks"	"to"	11
"445"	"that"	"a"	11
"446"	"that"	"has"	11
"447"	"the"	"fact"	11
"448"	"the"	"kids"	11
"449"	"the"	"old"	11
