"word1"	"word2"	"word3"	"word4"	"freq"
"336"	"to"	"be"	"a"	"good"	2
"337"	"to"	"be"	"a"	"part"	2
"338"	"to"	"be"	"able"	"to"	2
"339"	"to"	"be"	"one"	"of"	2
"340"	"to"	"be"	"part"	"of"	2
"341"	"to"	"be"	"said"	"for"	2
"342"	"to"	"check"	"it"	"out"	2
"343"	"to"	"do"	"in"	"the"	2
"344"	"to"	"find"	"out"	"who"	2
"345"	"to"	"follow"	"more"	"people"	2
"346"	"to"	"get"	"up"	"and"	2
"347"	"to"	"go"	"to"	"a"	2
"348"	"to"	"go"	"to"	"class"	2
"349"	"to"	"go"	"to"	"work"	2
"350"	"to"	"make"	"it"	"through"	2
"351"	"to"	"my"	"head"	"and"	2
"352"	"to"	"name"	"a"	"few"	2
"353"	"to"	"one"	"of"	"our"	2
"354"	"to"	"share"	"with"	"you"	2
"355"	"trying"	"to"	"make"	"sure"	2
"356"	"want"	"to"	"be"	"part"	2
"357"	"was"	"not"	"aware"	"of"	2
"358"	"was"	"one"	"of"	"the"	2
"359"	"way"	"to"	"start"	"the"	2
"360"	"we"	"had"	"a"	"good"	2
"361"	"we"	"just"	"need"	"to"	2
"362"	"we"	"went"	"to"	"the"	2
"363"	"we"	"will"	"continue"	"to"	2
"364"	"well"	"cant"	"wait"	"to"	2
"365"	"were"	"not"	"just"	"talking"	2
"366"	"what"	"i"	"can"	"tell"	2
"367"	"what"	"i"	"was"	"doing"	2
"368"	"what"	"they"	"are"	"told"	2
"369"	"whats"	"on"	"my"	"mind"	2
"370"	"whats"	"the"	"deal"	"with"	2
"371"	"when"	"i"	"was"	"a"	2
"372"	"when"	"u"	"cant"	"sleep"	2
"373"	"when"	"you"	"look"	"into"	2
"374"	"who"	"do"	"you"	"think"	2
"375"	"will"	"always"	"be"	"a"	2
"376"	"will"	"worship"	"the"	"father"	2
"377"	"would"	"still"	"be"	"there"	2
"378"	"yes"	"even"	"though"	"i"	2
"379"	"yes"	"there"	"are"	"a"	2
"380"	"you"	"arent"	"able"	"to"	2
"381"	"you"	"do"	"with"	"it"	2
"382"	"you"	"dont"	"have"	"to"	2
"383"	"you"	"know"	"youre"	"a"	2
"384"	"you"	"like"	"to"	"see"	2
"385"	"you"	"so"	"much"	"for"	2
"386"	"a"	"a"	"b"	"day"	1
"387"	"a"	"a"	"tasty"	"dinner"	1
"388"	"a"	"a"	"tune"	"called"	1
"389"	"a"	"addict"	"got"	"a"	1
"390"	"a"	"and"	"i"	"told"	1
"391"	"a"	"approximately"	"with"	"an"	1
"392"	"a"	"arm"	"and"	"a"	1
"393"	"a"	"b"	"day"	"schedule"	1
"394"	"a"	"babbling"	"creek"	"makes"	1
"395"	"a"	"baby"	"girl"	"we"	1
"396"	"a"	"backoftheenvelope"	"calculation"	"they"	1
"397"	"a"	"backup"	"battery"	"alarm"	1
"398"	"a"	"bad"	"movie"	"called"	1
"399"	"a"	"bad"	"sign"	"when"	1
"400"	"a"	"bad"	"slide"	"as"	1
"401"	"a"	"bad"	"way"	"to"	1
"402"	"a"	"bahutier"	"made"	"bahuts"	1
"403"	"a"	"balanced"	"life"	"with"	1
"404"	"a"	"balkan"	"academy"	"is"	1
