"word1"	"word2"	"word3"	"freq"
"230"	"feel"	"like"	"i"	4
"231"	"follow"	"me"	"back"	4
"232"	"from"	"what"	"i"	4
"233"	"get"	"on"	"with"	4
"234"	"had"	"a"	"good"	4
"235"	"happy"	"birthday"	"to"	4
"236"	"happy"	"mothers"	"day"	4
"237"	"happy"	"to"	"have"	4
"238"	"has"	"been"	"a"	4
"239"	"have"	"the"	"same"	4
"240"	"here"	"is"	"a"	4
"241"	"i"	"can"	"tell"	4
"242"	"i"	"dont"	"have"	4
"243"	"i"	"dont"	"need"	4
"244"	"i"	"got"	"a"	4
"245"	"i"	"hate"	"when"	4
"246"	"i"	"have"	"no"	4
"247"	"i"	"have"	"the"	4
"248"	"i"	"know"	"that"	4
"249"	"i"	"like"	"the"	4
"250"	"i"	"love"	"your"	4
"251"	"i"	"need"	"a"	4
"252"	"i"	"think"	"im"	4
"253"	"i"	"wanted"	"to"	4
"254"	"i"	"wonder"	"if"	4
"255"	"in"	"a"	"few"	4
"256"	"in"	"new"	"york"	4
"257"	"in"	"this"	"world"	4
"258"	"interested"	"in"	"the"	4
"259"	"is"	"a"	"great"	4
"260"	"is"	"not"	"the"	4
"261"	"is"	"such"	"a"	4
"262"	"it"	"and"	"i"	4
"263"	"it"	"has"	"been"	4
"264"	"it"	"is"	"not"	4
"265"	"it"	"was"	"so"	4
"266"	"just"	"need"	"to"	4
"267"	"know"	"what"	"is"	4
"268"	"looking"	"for"	"a"	4
"269"	"makes"	"me"	"feel"	4
"270"	"matter"	"how"	"much"	4
"271"	"might"	"be"	"a"	4
"272"	"not"	"going"	"to"	4
"273"	"of"	"the"	"best"	4
"274"	"of"	"the"	"characters"	4
"275"	"of"	"the"	"month"	4
"276"	"of"	"the"	"most"	4
"277"	"oh"	"my"	"god"	4
"278"	"on"	"the"	"internet"	4
"279"	"one"	"of"	"them"	4
"280"	"out"	"of"	"your"	4
"281"	"rest"	"of"	"the"	4
"282"	"right"	"now"	"and"	4
"283"	"seems"	"to"	"be"	4
"284"	"should"	"be"	"able"	4
"285"	"side"	"of"	"the"	4
"286"	"so"	"happy"	"to"	4
"287"	"so"	"much"	"fun"	4
"288"	"so"	"we"	"can"	4
"289"	"spread"	"the"	"word"	4
"290"	"supposed"	"to"	"be"	4
"291"	"thanks"	"for"	"following"	4
"292"	"thanks"	"to"	"everyone"	4
"293"	"that"	"he"	"was"	4
"294"	"that"	"i"	"can"	4
"295"	"that"	"is"	"the"	4
"296"	"that"	"will"	"be"	4
"297"	"the"	"act"	"of"	4
"298"	"the"	"city"	"of"	4
"299"	"the"	"day"	"and"	4
"300"	"the"	"difference"	"between"	4
"301"	"the"	"history"	"of"	4
"302"	"the"	"life"	"of"	4
"303"	"the"	"name"	"of"	4
"304"	"the"	"only"	"thing"	4
"305"	"the"	"other"	"day"	4
"306"	"the"	"other"	"hand"	4
"307"	"the"	"purpose"	"of"	4
"308"	"the"	"thing"	"i"	4
"309"	"the"	"way"	"i"	4
"310"	"there"	"was"	"a"	4
"311"	"there"	"was"	"no"	4
"312"	"they"	"need"	"to"	4
"313"	"this"	"is"	"an"	4
"314"	"time"	"to"	"get"	4
"315"	"to"	"all"	"of"	4
"316"	"to"	"do"	"a"	4
"317"	"to"	"do"	"with"	4
"318"	"to"	"follow"	"me"	4
"319"	"to"	"make"	"sure"	4
"320"	"to"	"one"	"of"	4
"321"	"to"	"say"	"that"	4
"322"	"to"	"think"	"about"	4
"323"	"to"	"work"	"with"	4
"324"	"top"	"of"	"the"	4
"325"	"trying"	"to"	"make"	4
"326"	"want"	"to"	"make"	4
"327"	"was"	"not"	"the"	4
"328"	"we"	"have"	"a"	4
"329"	"went"	"on"	"to"	4
"330"	"what"	"do"	"you"	4
"331"	"what"	"i"	"can"	4
"332"	"when"	"i"	"get"	4
"333"	"when"	"you"	"get"	4
"334"	"where"	"i"	"live"	4
"335"	"why"	"is"	"it"	4
"336"	"will"	"continue"	"to"	4
"337"	"will"	"not"	"be"	4
"338"	"will"	"see"	"you"	4
"339"	"would"	"be"	"the"	4
"340"	"you"	"dont"	"know"	4
"341"	"you"	"know"	"it"	4
"342"	"you"	"know"	"me"	4
"343"	"you"	"want"	"to"	4
"344"	"youre"	"going"	"to"	4
